shs_strand,tvl_strand,course,field_category,interest_research,interest_arts,interest_policy,interest_design,interest_tech,interest_building,interest_nature,interest_detail,interest_leading,interest_helping,interest_tools,interest_analysis,interest_writing,interest_performing,interest_health_care,interest_finance,interest_sales,interest_education,interest_management,interest_marketing,interest_performing_arts,interest_counseling,interest_social_service,interest_legal,interest_business,ability_logic,ability_creativity,ability_comm,ability_practical,ability_teamwork,ability_spatial,ability_numerical,ability_abstract_reason,ability_verbal_comp,ability_clerical,ability_mech_reason,ability_organization,ability_detailcheck,ability_comprehension,ability_problem_solve,dmgt_resilience,dmgt_persistence,dmgt_self_manage,dmgt_patience,dmgt_flexibility,dmgt_integrity,dmgt_stress_manage,dmgt_initiative,ability_comm_written,ability_negotiation
STEM,none,Information Security,TECH,4,3,2,3,5,4,2,2,2,1,3,4,2,3,3,1,3,2,2,1,1,2,3,1,1,5,2,1,2,2,3,4,5,1,3,3,1,5,1,3,2,4,2,1,1,3,3,1,2,3
STEM,none,Community Nutrition,HEALTH,4,3,2,2,1,3,4,2,3,5,3,1,1,2,5,2,2,1,1,3,2,3,2,2,3,5,1,3,4,3,2,1,2,5,2,3,2,4,3,1,4,1,2,5,1,1,2,3,2,1
GAS,none,Film,MEDIA,2,5,3,5,2,3,3,3,1,2,1,1,5,2,1,1,1,2,3,4,5,2,3,3,1,1,5,5,2,4,3,1,3,3,2,3,2,3,1,1,3,2,2,2,1,3,2,5,4,1
STEM,none,Mechanical Engineering,ENG,4,3,2,3,3,5,1,2,3,1,4,2,2,2,3,2,2,3,2,1,3,1,3,3,1,5,3,3,5,4,4,4,3,3,3,5,3,2,1,3,2,1,1,3,2,1,3,2,3,3
TVL,ICT,Electrical Installation,APPLIED,2,1,1,1,4,5,4,3,3,2,5,1,3,3,2,2,3,1,3,2,1,2,1,1,3,4,2,3,5,1,4,1,1,1,2,5,2,2,2,3,3,1,2,3,2,1,1,3,2,3
HUMSS,none,Sociology,SOCIAL,4,3,5,3,3,1,2,1,3,5,3,3,1,1,2,3,3,3,3,1,2,3,2,4,1,4,1,5,3,4,1,3,3,4,2,3,2,2,5,2,3,3,3,2,5,3,1,3,3,1
STEM,none,Geodetic Engineering,ENG,4,3,1,2,3,5,1,1,3,3,4,2,1,1,2,2,1,1,1,1,2,2,1,1,1,5,2,2,5,5,5,4,1,2,3,5,3,1,3,2,2,1,2,1,3,1,3,2,3,3
STEM,none,Geodetic Engineering,ENG,4,2,1,3,4,5,1,2,3,3,4,3,1,1,1,2,2,2,3,1,2,2,2,1,3,5,2,1,5,5,5,5,2,1,3,5,2,1,3,1,1,1,3,2,3,2,1,2,3,2
STEM,none,Industrial Engineering,ENG,5,3,2,3,4,5,2,1,1,2,4,1,1,2,2,1,3,2,3,3,2,3,2,3,2,5,3,1,5,4,4,4,1,1,3,5,1,1,1,3,2,1,3,3,1,1,1,3,1,3
GAS,none,"Hotel, Restaurant & Institutional Management",HOSP,1,2,3,2,3,2,3,2,1,5,3,1,1,3,1,1,1,2,4,3,3,3,2,1,4,1,3,5,4,5,3,3,2,2,3,1,5,1,3,2,1,2,2,2,2,2,4,2,1,2
GAS,none,Transportation Management,HOSP,1,3,3,1,1,2,1,1,2,5,3,3,2,2,1,1,2,3,4,3,3,1,2,3,4,2,3,5,5,5,1,3,3,1,2,2,5,1,3,3,1,2,2,1,3,1,4,3,1,3
STEM,none,Nutrition and Dietetics,HEALTH,5,3,2,1,1,2,4,2,2,5,3,1,1,3,5,2,3,2,2,2,3,3,3,3,2,5,1,3,3,3,1,1,1,5,2,1,1,5,2,2,4,1,3,5,1,1,3,1,2,1
GAS,none,Broadcast Communication,MEDIA,3,5,2,5,3,1,1,1,2,2,3,1,5,3,1,2,1,3,1,5,5,3,1,1,1,1,5,5,1,4,2,1,2,3,1,2,2,2,2,3,3,2,1,1,3,2,1,4,4,3
GAS,none,Tourism Management,HOSP,3,2,1,3,1,1,3,2,2,5,3,1,3,3,3,3,1,3,5,1,3,2,1,1,4,2,2,5,4,5,3,2,2,3,3,2,5,2,2,2,1,1,2,3,1,1,5,2,1,2
GAS,none,Broadcast Communication,MEDIA,3,5,2,5,3,2,2,2,3,1,3,3,5,2,3,3,1,2,3,5,5,2,3,3,1,3,5,5,2,3,3,3,3,1,2,1,3,2,3,1,2,3,3,2,3,3,2,5,4,3
STEM,none,Electronics Engineering,ENG,4,2,3,3,3,5,1,3,2,1,4,2,3,1,2,3,2,3,3,1,1,1,1,3,1,5,2,2,5,5,4,5,3,2,1,5,3,1,3,3,1,1,2,3,3,3,1,1,1,2
STEM,none,Data Science,TECH,4,2,1,3,5,3,2,1,3,1,2,4,2,3,3,3,1,3,2,1,2,2,3,3,2,5,3,1,1,3,2,4,5,3,2,1,3,5,1,2,2,4,2,3,2,2,2,3,2,1
ABM,none,Legal Management,BUS,1,3,3,2,2,2,1,5,5,2,1,3,3,2,1,5,2,1,5,1,1,1,3,3,5,4,1,4,3,1,3,4,3,2,3,3,5,2,3,3,3,3,2,2,2,4,3,2,2,4
STEM,none,Railway Engineering,ENG,5,2,1,2,3,5,2,2,3,2,5,2,2,2,1,2,3,1,3,1,1,2,1,2,3,5,2,2,5,4,5,5,1,2,3,5,1,3,2,2,2,2,1,1,3,3,1,1,1,3
